Opportunity Name,Sponsoring Organization/Funder,Funding/Salary/Benefit,Summary,Application Deadline,Target Sector/Beneficiaries,Eligibility,Geographic Focus,Consortium/Partnership Notes,Source Link,End Summary,Status,Date Added,Track (AI),Track (Editor),Notes
U.S. Local News Reporting Grants,Pulitzer Center,No fixed cap — covers reporting-related expenses,"Supports enterprise and investigative journalism in U.S. local newsrooms, focusing on underreported issues and community engagement. Covers reporting and outreach efforts to enhance public impact.",Ongoing - Rolling (no fixed deadline),Freelance or staff journalists working with local U.S. media outlets. Open to journalists globally if publishing with a U.S. local newsroom. Underrepresented applicants encouraged.,"Freelancers, staff reporters, editors, local U.S. newsroom teams",United States,Individual and newsroom collaborations allowed,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/us-local-news-reporting-grants,"Offers flexible, ongoing support for impactful local journalism that strengthens accountability and community awareness.",Awaiting Review,8/12/2025 7:59 PM,Evidence,,
Journalism Assistance Fund (JAF),"Department of Industry, Science and Resources (on behalf of DITRDCSA)","AU$39,000–AU$7.5 million over 3 years","A grant program supporting Australian digital news publishers by subsidizing wages for journalists producing core public-interest news content, aiming to ensure sustainability, media diversity, and public engagement during media sector challenges.",2026-04-30 (or until funds exhausted),"Must be a registered Australian entity (ABN, GST-registered, etc.), producing core news content distributed digitally. Excludes foreign-controlled entities, insolvent companies, or publishers with less than 0.5 FTE journalists. Accepted entities include companies, incorporated associations, not-for-profits, partnerships, and sole traders.",Australian digital news publishers employing journalists,Australia,Not required,https://business.gov.au/grants-and-programs/journalism-assistance-fund,A major funding initiative to sustain public-interest journalism and support jobs in digital news publishing across Australia.,Awaiting Review,8/12/2025 11:21 PM,Evidence,,
Eric B. Sager Scholarships,Investigative Reporters & Editors (IRE),"IRE membership, free conference registration, 4 hotel nights, $500 travel stipend","Scholarships supporting U.S.-based and independent journalists to attend IRE conferences, covering costs like registration, travel, and lodging.",Not specified (varies by conference),U.S.-based journalists and independent journalists; trade/small outlet reporters encouraged; students not eligible,Professional and independent journalists in the U.S.,United States,No consortium requirement; individuals apply directly,https://www.ire.org/training/fellowships-and-scholarships/eric-b-sager-scholarships/,Covers full participation costs for IRE conferences to support under-resourced journalists,Awaiting Review,28/12/2025 1:24am,Evidence,,
SAJA Reporting Fellowship (SRF),South Asian Journalists Association (SAJA),"Individual grant awards typically range from $3,000 to $7,000, covering approved reporting expenses. SAJA may distribute up to $20,000 annually across selected projects. Reimbursement-based funding.","A reporting fellowship grant that supports in-depth news reports on under-covered issues related to South Asia and the South Asian diaspora by providing funding for investigative reporting, travel, interviews and on-site reporting.",Rolling basis (no fixed deadline),Open to freelance and staff journalists worldwide with a reporting proposal focused on South Asia or its diaspora. Applicants must demonstrate confirmed interest from a U.S. or Canadian media outlet for publishing the work. SAJA board members and their immediate families are not eligible.,"Journalists and reporters (freelance, staff, any medium) focusing on in-depth reporting",Global (as long as the work is published in the U.S. or Canada and covers South Asia or its diaspora),No formal consortium required; individuals or teams can apply. Funding is awarded per project.,https://www.saja.org/,Fellowship grants reimburse reporting costs for journalists producing deep reporting on South Asia and its diaspora; applications are accepted on a rolling/ongoing basis.,Awaiting Review,7/1/2026 1:01 AM,Evidence,,
Summer 2026 Journalism Fellowship – The Fulcrum,The Fulcrum (in partnership with the Hortencia Zavala Foundation & Latino News Network),"$1,000 stipend upon completion; editorial mentorship; publishing opportunities","A 10-week summer fellowship offering editorial training, mentorship, and the opportunity to publish solutions-focused journalism.",27 Feb 2026,"Open to undergraduate and graduate journalism students in the U.S. in good academic standing; requires resume, cover letter, work samples, and recommendation letter",Journalism students (undergraduate & graduate),United States,Partnered with the Hortencia Zavala Foundation and Latino News Network for mentorship and publishing collaboration,https://com.miami.edu/job_posting/summer-2026-journalism-fellowship-the-fulcrum-apps-close-feb-27,Offers early-career journalists hands-on editorial experience and storytelling training with publication support,Awaiting Review,9/1/2026 8:28 PM,Evidence,,
Los Angeles Times Fellowship,Los Angeles Times,"Paid full-time salary (exact amount not specified); includes mentorship, professional coaching, and reporting opportunities.","A paid, full-time year-long journalism immersion fellowship that offers training, mentorship, and newsroom experience to develop aspiring journalists, particularly those from underrepresented communities.",1 Mar 2026,Open to recent graduates or early-career journalists with up to 3 years in professional newsrooms or 5 years in other media roles. Must be eligible to work in the U.S.,"Aspiring journalists, especially from diverse and underrepresented backgrounds",United States,Individual placements only; no consortium requirement,https://latfellowship.submittable.com/submit,A prestigious U.S.-based journalism fellowship designed to accelerate careers and improve diversity in newsrooms.,Awaiting Review,13/1/2026 1:41am,Evidence,,
Investigation Support & Pitch Submission with ARIJ,Arab Reporters for Investigative Journalism (ARIJ),"Editorial support, mentoring, and production help (no direct funding or salary)","Journalists can submit pitches for investigative projects and receive editorial mentoring, production guidance, and support to publish the final investigation.",Rolling basis (no fixed deadline); responses in ~3 weeks,"Journalists with a clear, impactful, and original investigative idea; incomplete or vague pitches not accepted",Investigative journalists and media professionals,Arab region primarily; open to others with relevant investigations,No consortium required; individual pitch submission only,https://en.arij.net/how-to-carry-out-an-investigation/,Ongoing opportunity for journalists to get ARIJ’s editorial and production support for investigative work with regional or cross-border relevance.,Awaiting Review,15/1/2026 1:32am,Evidence,,
AJI Reporting Fellowship 2026–2028,Allbritton Journalism Institute (AJI),"$60,000 annual salary for two years","A two-year full-time political journalism fellowship combining classroom training, mentorship, and hands-on reporting with AJI's newsroom partner NOTUS in Washington, D.C.",2026-02-18 (by 11:59 PM ET),Open to early-career journalists or career changers passionate about policy/political reporting; must have U.S. work authorization,Aspiring and early-career journalists with a focus on U.S. politics and policy,"United States (Washington, D.C.)",No consortium required; individual fellowship placement,https://aji.org/,A prestigious U.S.-based fellowship training future political journalists through paid reporting and immersive instruction.,Awaiting Review,25/1/2026 9:15pm,Evidence,,
European Cross-border Grants,Journalismfund Europe (with EU/Creative Europe support),"Up to €280,000 per call (part of €1,120,000 annual pool); covers travel, translation, database access, legal checks, time compensation","Grants for collaborative, cross-border investigative journalism projects with relevance to European audiences, supporting research and reporting costs",2026-03-19 (first 2026 round),Cross-border teams with at least two journalists or media outlets from different European countries; 80% of the budget must benefit EU-based entities; letters of intent required,Investigative journalists and media outlets engaging in European cross-border reporting,Europe,Requires team collaboration across countries and letters of intent from at least two European outlets,https://www.journalismfund.eu/european-cross-border-grants,"A European journalism grant funding in-depth, cross-border investigations with multi-country team collaboration and strong editorial backing.",Awaiting Review,26/1/2026 3:47am,Evidence,,
IJ4EU Freelancer Support Scheme – First Call (2026/27),Investigative Journalism for Europe (IJ4EU) / European Journalism Centre (EJC),"Up to €20,000 per project + mentoring/training","Funds cross-border, evidence-based investigative journalism projects led mainly by freelance journalists, with mentoring, training, and networking support.",13 April 2026,Teams of at least two freelance journalists based in different Creative Europe participating countries.,Freelance investigative journalists,Europe (Creative Europe countries),Cross-border collaboration mandatory (minimum two countries).,https://investigativejournalismforeu.net/grants/freelancer-support-scheme/,First call of the IJ4EU Freelancer Support Scheme for the 2026/27 cycle.,Awaiting Review,6/2/2026 5:16 PM,Evidence,,
IJ4EU Investigation Support Scheme – First Call (2026/27),Investigative Journalism for Europe (IJ4EU) / International Press Institute (IPI),"Up to €50,000 per project","Supports major cross-border investigative journalism projects of high public interest, emphasizing evidence-led reporting and OSINT methods.",13 April 2026,Teams of journalists and/or media organisations with partners in at least two Creative Europe countries.,Investigative journalism teams,Europe (Creative Europe countries),Cross-border collaboration mandatory.,https://investigativejournalismforeu.net/grants/investigation-support-scheme/,First call of the IJ4EU Investigation Support Scheme for 2026/27.,Awaiting Review,6/2/2026 5:16 PM,Evidence,,
Code for Africa (CfA) African Academy for Open Source Investigation (AAOSI) Fellowships 2026,"Code for Africa (CfA) in partnership with CivicSignal, iLAB and PesaCheck",Monthly stipend; technical training; one-on-one mentorship; editorial and publishing support,"A 4-month fellowship equipping journalists with advanced Open-Source Intelligence (OSINT) and Social Media Intelligence (SOCMINT) forensic analysis skills to conduct evidence-based investigations into disinformation, digital manipulation, and information integrity issues. Fellows receive structured training, mentorship, and support to publish investigative outputs.",6 March 2026,Journalists based in eligible African countries with at least 1 year of journalism experience (preferably investigative or data journalism); affiliated with a media outlet or able to publish; fluent in English or French.,Investigative & OSINT journalists,"Select African countries (Sahel, West & East Africa)","Delivered through multi-partner collaboration (CfA, CivicSignal, iLAB, PesaCheck); no cross-border team requirement stated.",https://opportunitydesk.org/2026/02/11/cfa-aaosi-fellowships-2026/,Verified 2026 OSINT-focused fellowship with confirmed deadline and evidence-driven investigative mandate.,Awaiting Review,11/2/2026 4:41 PM,Evidence,,
European Cross-Border Grants 2026,Journalismfund Europe,Grant funding for cross-border investigative reporting (amount varies by project budget).,"European Cross-Border Grants support investigative journalism projects conducted collaboratively by journalists from at least two different European countries. The grants fund cross-border, in-depth investigations on issues of public interest, enabling independent reporting that transcends national boundaries. Funding supports research, reporting, travel, and publication costs to strengthen accountability journalism across Europe.",24 April 2026 (23:59 CET),Teams of professional journalists from at least two different European countries. Applicants must demonstrate professional journalistic experience and present a cross-border investigative project of public interest.,Investigative journalists,Europe (minimum two European countries required),Mandatory cross-border collaboration between journalists in at least two European countries.,https://opportunitydesk.org/2026/01/19/european-cross-border-grants-2026/,Verified 2026 funding call supporting collaborative cross-border investigative journalism in Europe.,Awaiting Review,11/2/2026 4:43 PM,Evidence,,
Knight-Wallace Journalism Fellowship,"Wallace House, University of Michigan",One-year residential fellowship for mid-career journalists to pursue customized projects and leadership training.,Full support including stipend and travel,12/1/2025,Journalists worldwide with 5+ years experience; includes non-U.S. citizens,Individual journalists,Global,NA,https://wallacehouse.umich.edu/knight-wallace/how-to-apply/,Prestigious program for advancing careers and exploring ideas beyond daily reporting.,Approved,,,,
Fund for Investigative Journalism – General & Seed Grants,Fund for Investigative Journalism (FIJ),Grants to support investigative stories that break new ground and expose wrongdoing. Also includes seed funds.,"Up to 10,000 USD (general), 2,500 USD (seed)",1/26/2026,Open to freelance or staff journalists worldwide,Individual journalists,Global,NA,https://fij.org/apply-for-a-grant/,Funding for deep-dive reporting projects and early-stage investigations.,Approved,,,,
Media Forward Fund,Media Forward Fund,"Supports media organisations to innovate in formats, distribution, or business models via project and organization-level grants.","Up to €400,000 for projects, €200,000 for organizations",12/31/2026,Media organizations with existing operations and potential to scale or test models.,Media organizations / news outlets,"Germany / DACH region, possibly broader Europe",Collaborative or networked models encouraged.,https://www.mediaforwardfund.org/en/apply,Major innovation fund for media operations testing new distribution and revenue formats in Europe.,Approved,,,,
NEH Media Projects,National Endowment for the Humanities (USA),"Supports creation of humanities-themed documentaries, podcasts, and public media with educational depth.",Development and production grants (amount varies),12/31/2026,"Nonprofit media organizations, filmmakers, and producers with strong humanities content.",Nonprofit media / documentary creators,Primarily USA; international coproductions eligible,Strongly encourages academic/media collaborations,https://www.neh.gov/program/media-projects,"A flagship U.S. grant for educational public media projects including film, radio, and digital storytelling.",Approved,,,,
Stringer Foundation Investigative Journalism Fellowship (Inaugural Cohort),The Stringer Foundation,Multi-year fellowship supporting courageous investigative journalists globally with funding and tailored support.,Multi-year funding (exact terms not specified),12/31/2025,"Open to investigative journalists globally; focus on high-impact, courageous reporting.",Individual journalists,Global,NA,https://stringerjournalism.org/apply-for-grants,First fellowship cohort by Stringer Foundation; includes financial and editorial support for bold investigations worldwide.,Approved,,,,
Karsh Journalism Fellowship 2026,Karsh Family Foundation,Supports early-career journalists to report on Jewish life and culture with a stipend and travel support.,"USD 4,000 stipend + travel",10/15/2025,Open to early-career journalists with an interest in Jewish issues.,Individual journalists,Global,NA,https://www.profellow.com/open-call/apply-now-2026-karsh-journalism-fellowship/,Fellowship enables deeper coverage of Jewish themes globally with financial and logistical support.,Approved,,,,
FASPE Journalism Fellowship Program 2026,FASPE (Fellowships at Auschwitz for the Study of Professional Ethics),"Ethics-focused fellowship for journalists exploring journalism’s role in society, with historical context and contemporary application.","Fully funded program, travel + lodging",1/4/2026,Early-career journalists or graduate journalism students; global applicants eligible.,Individual journalists,Global,NA,https://www.faspe-ethics.org/fellowships,Combines historical study with ethical reflection for journalists at a formative career stage.,Approved,,,,
ICFJ Boost Reporting Grants,International Center for Journalists (ICFJ),"Provides story-specific funding to journalists covering priority global issues like climate, health, or digital threats.","USD 2,000–3,000 per story grant",12/31/2025,Open to freelance or staff journalists globally; topic-specific calls.,Individual journalists,Global,NA,https://www.icfj.org/our-work/boost-reporting-grants-journalists,"Grant opportunity for journalists pursuing impactful, focused reporting projects on key global issues.",Approved,,,,
JAWS 2026 Health Reporting Fellowship,Journalism and Women Symposium (JAWS),"Supports U.S.-based women journalists to report on health stories through stipends, training, and mentoring.","USD 4,000 + mentoring & workshops",12/5/2025,Women or gender-diverse journalists in the U.S. with 2–7 years of experience.,Individual journalists,USA,NA,https://www.jaws.org/news/call-for-applications-journalism-amp-women-symposium-jaws-2026-health-reporting-fellowship,A focused fellowship supporting early-career journalists pursuing health stories and skill-building in the U.S.,Approved,,,,
Pascal Decroos Fund,Journalismfund Europe,"Supports investigative journalism in Dutch-language media in Belgium, offering funding for in-depth reporting.",Varies per project (amounts not specified),11/13/2025,"Journalists or outlets working in Dutch-language media in Flanders, Belgium.",Local investigative journalists,Belgium (Flanders),NA,https://www.journalismfund.eu/grants,Legacy grant program focused on enhancing Dutch-language investigative journalism in Belgium.,Approved,,,,
FPD Low Countries,Journalismfund Europe,Supports cross-border local investigative journalism in Belgium and the Netherlands.,Varies per project (amounts not specified),11/13/2025,Journalists or outlets in Belgium and Netherlands; cross-border reporting encouraged.,Local investigative media,Belgium & Netherlands,Cross-border collaboration encouraged,https://www.journalismfund.eu/grants,Strengthens local journalism in the Low Countries through financial and editorial support for cross-border projects.,Approved,,,,
Professional Development for Environmental Journalism,Journalismfund Europe,"Capacity-building grants to strengthen environmental journalism in Europe via training, mentoring, and support programs.",Varies per project,1/22/2026,"Journalism organizations, institutions, or networks based in Europe.",Journalism institutions,Europe,"Partnerships with mentors, trainers encouraged",https://www.journalismfund.eu/grants,Focused on organisational development and training for environmental journalism in European media.,Approved,,,,
Environmental Investigative Journalism,Journalismfund Europe,Funds cross-border investigative environmental journalism by teams of professional journalists or media outlets in Europe.,Varies per project,1/22/2026,Cross-border teams of journalists or outlets in Europe working on environmental issues.,Investigative journalism teams,Europe,Cross-border collaboration required,https://www.journalismfund.eu/grants,Supports environmental investigations that transcend national borders in the European context.,Approved,,,,
ACC 2026 Grants / Fellowships (Asia-Pacific),Asian Cultural Council (ACC),"Supports media and cultural exchange projects across Asia and between Asia and the U.S., open to institutions and media organizations.",Grant size varies depending on project scope,11/19/2025,Organizations and institutions in Asia or U.S. working in cultural/media exchange.,Media organizations / cultural orgs,Asia / Asia-U.S.,Collaborative and cross-border projects encouraged,https://www.asianculturalcouncil.org/grant-opportunities,Cultural and media project grants to strengthen transnational storytelling and collaboration in the Asia-Pacific region.,Approved,,,,
Open Media Foundation Matching & Services Grants,Open Media Foundation,"Provides matching grants and services support for nonprofit media organizations, including web development, video, and branding.",Matching grants or in-kind services (value varies),12/31/2026,Nonprofit media organizations in the U.S. or globally; ongoing support.,Media organizations,USA / Global,NA,https://open.media/grants/,Offers accessible matching or services-based grants to help nonprofit media entities improve digital and communication capacity.,Approved,,,,
Commonwealth Foundation Grants 2026,Commonwealth Foundation,"Supports civil-society & media NGOs advancing inclusion, transparency, and freedom of expression. Prioritises projects that amplify citizen voice and strengthen accountability through media collaboration.",Up to £60 000 (over 2 years),23 Oct 2025 (1 PM BST),Registered nonprofits (≥ 3 years) in Commonwealth member states working on media or civic engagement.,Civil-society & media advocacy organisations,Commonwealth countries,Partnerships between CSOs and media encouraged.,https://commonwealthfoundation.com/grants/annual,Major institutional grant explicitly funding media-linked governance and advocacy work.,Approved,,,,
NIHCM Journalism Grants,NIHCM Foundation,"Grants to support timely health-care journalism examining emerging issues of cost, quality and access.",Information Not Available,2025-10-27,Journalists or news organisations covering health care topics in U.S. context,Journalists,United States,Information Not Available,https://newsfuel.org/opportunity/nihcm-journalism-grants/,A useful opportunity for journalists specialising in health-care reporting in the U.S.,Approved,,,,
Western Balkans Environmental Media Grant 2025,Earth Journalism Network (EJN) / Internews,"One-year grant for a media/journalism project to enhance environmental journalism (biodiversity, threats, solutions) in the Western Balkans.","€10,000 to one organization",2025-10-30,"Media orgs, journalist networks, CSOs, or academic institutions in Albania, Bosnia & Herzegovina, Croatia, North Macedonia, Montenegro, Serbia, Kosovo","Journalists, media organizations",Western Balkans,"No consortium required, but partnerships with science/CSOs encouraged",https://earthjournalism.net/opportunities/western-balkans-environmental-media-grant-2025,Supports one org to improve environmental journalism in the Western Balkans.,Approved,,,,
Business and Climate Media Initiative: Seed Grants for Media Outlets in Thailand and Indonesia,Earth Journalism Network (EJN),Seed grant to create climate-focused media sections on business and private-sector engagement in Thailand & Indonesia.,"Up to €8,000 per outlet",2025-11-10,"Media outlets in Thailand or Indonesia; content in English, Thai or Bahasa","Media outlets (print, TV, online, radio)","Thailand, Indonesia",No consortium needed; mentorship included,https://earthjournalism.net/opportunities/business-and-climate-media-initiative-seed-grants-for-media-outlets-in-thailand-and,Helps media outlets develop new programming focused on climate-business intersection.,Approved,,,,
14th Global Investigative Journalism Conference (GIJC25),Global Investigative Journalism Network (GIJN) in partnership with Malaysiakini,"A major global conference for investigative and data journalists, with over 150 panels, workshops, networking sessions and training opportunities. It will be held in Kuala Lumpur, Malaysia from November 20–24, 2025.","Non-monetary benefit: full conference access, networking, training, workshops.","2025-11-10, (registration remains open until this date)","Professional journalists, employees of non-profits/NGOs/educational organisations engaged in investigative or data journalism. Non-journalists may request approval.",Individual journalists and newsroom practitioners focused on investigative/data journalism.,"Global — open to journalists worldwide, with focus on under-represented regions.",Information Not Available,https://gijc2025.org/registration/,"This is a landmark biennial event open for registration, offering professional development and international networking for investigative journalists.",Approved,,,,
Virtual Media Workshop to Strengthen Reporting on Environmental Threats and Solutions,Earth Journalism Network (EJN),"Two-day virtual workshop (Jan 28–29, 2026) for Western Balkans journalists on reporting biodiversity, tech use, solutions journalism.",Non-monetary training; follow-on story grants (travel/stipends/multimedia),2025-11-12,Journalists based in the Western Balkans; must attend both workshop days,Journalists,Western Balkans,No consortiums; individual participation and follow-on grant eligibility,https://earthjournalism.net/opportunities/virtual-media-workshop-to-strengthen-reporting-on-environmental-threats-and-solutions,Builds capacity of Balkan journalists; grants follow participation.,Approved,,,,
FPD Low Countries,Journalismfund Europe,Supports local cross-border investigative journalism between Belgium and the Netherlands.,Information Not Available,2025-11-13,Journalists and media outlets in Belgium and Netherlands,Local investigative teams,"Belgium, Netherlands",Encourages cross-border local stories,https://grants.journalismfund.eu/en/fpd-low-countries,Supports local collaborations between two neighboring countries.,Approved,,,,
Nieman Fellowship (non-U.S.),Nieman Foundation,"Fellowship for journalists (print, broadcast, digital) to spend time at Harvard University to work on a project of innovation or reporting depth.",Information Not Available,2025-12-01 (non-U.S.),"Journalists working in media, globally; specific eligibility vary by track",Journalists,Global,Individual applications,https://newsfuel.org/opportunity/nieman-fellowship-non-u-s-citizens/,A prestigious opportunity for journalists seeking a serious sabbatical/fellowship year.,Approved,,,,
Hearst Journalism Fellowship 2026,Hearst Newspapers,"Two-year rotational newsroom fellowship giving early-career reporters experience across Hearst’s major U.S. news outlets in print, digital, video, and data.",Full-time salary + relocation + benefits,1/5/2026,Early-career journalists (1–3 years experience); recent graduates welcome,Reporters / multimedia journalists,🇺🇸 United States,Individual fellowship — no consortium applications,https://hearstfellowships.com,"Offers intensive, hands-on newsroom training that prepares young journalists for leadership in multimedia and digital storytelling.",Approved,,,,
Journalism Fellowship,FASPE (Fellowships at Auschwitz for the Study of Professional Ethics),Fully funded 2-week program exploring journalism ethics through seminars and historical context in Germany and Poland.,"Fully funded travel, lodging, seminars",2026-01-04,Graduate journalism students or early-career journalists with <10 years experience.,"Graduate students, early-career journalists",Global,No consortium requirement,https://www.faspe-ethics.org/journalism/,"Combines ethical study with historical learning abroad, focused on journalism integrity.",Approved,,,,
Toronto Metropolitan University (CERC Migration) Fellowship 2026,TMU – CERC Migration & Bridging Divides Program,"One-month residency for journalists researching migration, integration, and diversity while partnering with academic experts in Toronto.",CAD 5 000 + travel stipend,11/1/2025,Experienced journalists (≥ 5 years experience covering migration or diversity),Journalists / research collaborators,Global / 🇨🇦 Canada,Individual applicants; collaboration with academics encouraged,https://www.torontomu.ca/bridging-divides/opportunities/fellowships/journalism-fellowship/,Encourages knowledge exchange between journalists and migration scholars to strengthen evidence-based reporting on social issues.,Approved,,,,
CREA-MEDIA-2026-INNOVBUSMOD,European Commission (Creative Europe MEDIA),"Funds innovative business models and tools to increase visibility, discoverability and revenues for European audiovisual works.",Co-financing up to 70% of eligible costs.,15 January 2026,"Legal entities with innovative projects in media, tech or distribution.","Audiovisual platforms, tech startups, distributors.",EU + Creative Europe participating countries.,Projects with collaboration between media and tech encouraged.,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-MEDIA-2026-INNOVBUSMOD?isExactMatch=true&status=31094501,31094502,31094503&programmePeriod=2021%20-%202027&frameworkProgramme=43251814&order=DESC&pageNumber=1&pageSize=50&sortBy=startDate",Encourages experimentation with new digital and business tools.,Approved,,,,
Hearst Journalism Fellowship 2026,Hearst Newspapers,"Two-year rotational newsroom fellowship giving early-career reporters experience across Hearst’s major U.S. news outlets in print, digital, video, and data.",Full-time salary + relocation + benefits,1/5/2026,Early-career journalists (1–3 years experience); recent graduates welcome,Reporters / multimedia journalists,🇺🇸 United States,Individual fellowship — no consortium applications,https://hearstfellowships.com,"Offers intensive, hands-on newsroom training that prepares young journalists for leadership in multimedia and digital storytelling.",Approved,,,,
